REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C290,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2750.000,-1000.000,90.000,YES
C291,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2747.000,-1104.000,0.000,YES
C292,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2683.500,-1280.000,270.000,YES
C293,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,2594.870,-1286.118,270.000,YES
C294,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2780.000,-405.000,270.000,YES
C295,CAP_NP_C0402_100P/50V/NPO/0402,,,C0402,2820.000,-405.000,270.000,YES
C296,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2303.000,-663.000,180.000,YES
C297,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,2205.000,-560.000,0.000,YES
C298,CAP_NP_C0402_100P/50V/NPO/0402,,,C0402,2303.000,-623.000,0.000,YES
C300,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1855.000,-19720.000,0.000,NO
C301,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,3435.000,-550.000,90.000,YES
C302,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3485.000,-530.000,270.000,YES
C303,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3525.000,-530.000,270.000,YES
C304,CAP_NP_C0402_8.2P/50V/NPO/0402,,,C0402,3745.000,-695.000,180.000,NO
C305,CAP_NP_C0402_8.2P/50V/NPO/0402,,,C0402,3810.000,-695.000,0.000,NO
C306,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3485.000,-1000.000,90.000,NO
C307,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,3870.000,-615.000,270.000,NO
C308,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3815.000,-610.000,90.000,NO
C309,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3720.000,-520.000,90.000,YES
C310,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,3465.000,-725.000,270.000,NO
C311,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,3525.000,-725.000,270.000,NO
C312,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3595.000,-455.000,0.000,YES
C313,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3595.000,-415.000,0.000,YES
C314,CAP_NP_C0805_22U/6.3V/X5R/0805,,,C0805,3840.000,-580.000,90.000,YES
C315,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3785.000,-450.000,180.000,YES
C316,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3785.000,-405.000,180.000,YES
C317,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3595.000,-375.000,0.000,YES
C318,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3815.000,-295.000,180.000,NO
C319,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,3835.000,-245.000,0.000,NO
C320,CAP_NP_C0402_X_0.1U/16V/X7R/040,,,C0402,3755.000,-260.000,270.000,NO
C466,CAP_NP_C0402_0.01U/25V/X7R/0402,,,C0402,1475.000,-4215.000,270.000,NO
C491,CAP_NP_C0402_X_22P/50V/NPO/0402,,,C0402,2120.000,-1625.000,180.000,YES
C648,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,6615.291,-3380.760,180.000,YES
C649,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,6615.291,-3420.760,180.000,YES
C685,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,6616.291,-3517.760,180.000,YES
C686,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,6616.291,-3477.760,180.000,YES
